source_id,title,text_name,author,tradition,sect,subsect,text_category,language,script,format,size,approx_token_count,source_url,download_url,repository,license,copyright_status,training_permission,redistribution_permission,commercial_permission,translation_status,commentary_status,ocr_status,human_verified,source_quality,provenance_quality,duplicate_risk,sectarian_confidence,recommended_use,notes
SVK-0001,"CC0 Jain text library (patron-library-collection / ganeshvarnilibrary)","MULTIPLE (collection)",various,MULTI_TRADITION,MULTI_TRADITION,unknown,MULTIPLE,"hi;gu;en;sa","Devanagari;Gujarati;Latin","PDF;DjVuTXT;hOCR","~1807 items returned by collection query",UNMEASURED,https://archive.org/details/ganeshvarnilibrary,https://archive.org/advancedsearch.php?q=collection%3Aganeshvarnilibrary,Internet Archive,"CC0-1.0 (uploader-asserted)","mixed; per-item PD determination required",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL_PER_ITEM,CONDITIONAL_PER_ITEM,MIXED,none,"archive.org Tesseract 5; UNRELIABLE for Gujarati",no,GOOD,MEDIUM,"depends on per-item audit","LOW (collection is Digambara/generic-skewed)",NEEDS_PERMISSION,"The largest legally-plausible Jain text trove found. Must be audited item by item: the CC0 tag is NOT credible for post-1966 publications, while pre-1966 works are PD by age regardless of the tag. Collection skews Digambara and generic-Jain, NOT Sthanakavasi. HIGHEST PRIORITY for the corpus-v0.1 ingest task."
SVK-0002,"Jain Dharma (1958)",Jain Dharma,Muni Sushil Kumar,JAIN,STHANAKAVASI,"ABS Sthanakvasi Jain Conference Bhavan",EXPOSITION,"en;hi","Devanagari;Latin","PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan,https://archive.org/download/kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan/,Internet Archive,CC0-1.0,"1958; pre-1966; PD pending author death-year check",TRAINING_ALLOWED_WITH_CONDITIONS,YES,YES,n/a,none,"archive.org OCR; quality unmeasured",no,HIGH,MEDIUM,low,MEDIUM,TRAIN,"BEST SINGLE STHANAKAVASI SEED ITEM found. Publisher is explicitly the A.B.S. Sthanakvasi Jain Conference Bhavan, New Delhi. Verify the author death year to raise confidence, then promote to the core corpus."
SVK-0003,"An Illustrated Ardha Magadhi Dictionary Vol 1 (1923)",Ardha Magadhi Dictionary,Muni Ratnachandraji,SVETAMBARA,STHANAKAVASI,"SS Jain Conference (publisher)",LEXICON,"en;pra","Devanagari;Latin","PDF;DjVuTXT","not measured","UNMEASURED (lexicon; expect 1-3M)",https://archive.org/details/zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m,https://archive.org/download/zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m/,Internet Archive,CC0-1.0,"1923; pre-1966; PD by age",TRAINING_ALLOWED,YES,YES,n/a,none,"archive.org OCR; needs validation",no,HIGH,HIGH,low,HIGH,TRAIN,"Sthanakavasi-published Prakrit dictionary (Indore 1923). HIGHEST-VALUE PRAKRIT ASSET FOUND. Basis for the Ardhamagadhi lexicon used to validate all OCR output. Confirm the CC0 basis with counsel."
SVK-0004,"An Illustrated Ardha Magadhi Dictionary Vol 3 (1930)",Ardha Magadhi Dictionary,Muni Ratnachandraji,SVETAMBARA,STHANAKAVASI,"SS Jain Conference (publisher)",LEXICON,"en;pra","Devanagari;Latin","PDF;DjVuTXT","not measured","UNMEASURED (lexicon)",https://archive.org/details/tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m,https://archive.org/download/tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m/,Internet Archive,CC0-1.0,"1930; pre-1966; PD by age",TRAINING_ALLOWED,YES,YES,n/a,none,"archive.org OCR; needs validation",no,HIGH,HIGH,"HIGH (duplicate of SVK-0005)",HIGH,TRAIN,"Bombay 1930. Exists as multiple CC0 uploads plus DLI copies. Resolve to one canonical instance in the dedup stage."
SVK-0005,"Ardha Magadhi Dictionary Vol 3 (1930) Lahore Jangamwadi Math copy",Ardha Magadhi Dictionary,Shri Ratna Chandra Ji Maharaja,SVETAMBARA,STHANAKAVASI,"SS Jain Conference (publisher)",LEXICON,"en;pra","Devanagari;Latin","PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja,https://archive.org/download/WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja/,Internet Archive,CC0-1.0,"1930; pre-1966; PD by age",TRAINING_ALLOWED,YES,YES,n/a,none,"archive.org OCR; needs validation",no,HIGH,HIGH,"HIGH (duplicate of SVK-0004)",HIGH,TRAIN,"Confirmed cross-uploader duplicate - the canonical example for the dedup stage. Prefer the better scan and record the pairing."
SVK-0006,"An Illustrated Ardha Magadhi Dictionary Vol 4 (1932)",Ardha Magadhi Dictionary,Muni Ratnachandraji Maharaj,SVETAMBARA,STHANAKAVASI,"S Sthanakwasi Jaina Conference (publisher)",LEXICON,"en;pra","Devanagari;Latin","PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m,https://archive.org/download/kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m/,Internet Archive,CC0-1.0,"1932; pre-1966; PD by age",TRAINING_ALLOWED,YES,YES,n/a,none,"archive.org OCR; needs validation",no,HIGH,HIGH,"HIGH (DLI duplicate exists)",HIGH,TRAIN,"Title explicitly names the S Sthanakwasi Jaina Conference as publisher. The duplicate DLI instance (in.ernet.dli.2015.327413) has no licence - use the CC0 one."
SVK-0007,"Ardha Magadhi Dictionary Vols 2 and 5 (1927; 1938)",Ardha Magadhi Dictionary,Muni Ratnachandraji,SVETAMBARA,STHANAKAVASI,"SS Jain Conference",LEXICON,"en;pra","Devanagari;Latin","PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.327411,https://archive.org/download/in.ernet.dli.2015.327411/,Internet Archive,"none declared","1927 / 1938; pre-1966",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,n/a,none,"archive.org OCR; needs validation",no,MEDIUM,LOW,HIGH,LOW,NEEDS_PERMISSION,"DLI items carry NO licenseurl, NO rights field and NO possible-copyright-status (verified). PD by age is likely but must be established per item. Hunt for CC0 instances of vols 2 and 5 before using these."
SVK-0008,"Sthanakvasi Jainonum Dharamkartavya (1960)",Sthanakvasi Jainonum Dharamkartavya,unknown,SVETAMBARA,STHANAKAVASI,"unidentified Sthanakvasi publisher",CONDUCT_MANUAL,gu,Gujarati,"PDF;DjVuTXT;hOCR","1444954 bytes (original PDF)",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.440806,https://archive.org/download/in.ernet.dli.2015.440806/,Internet Archive,"none declared","1960; author unknown",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,n/a,none,"archive.org Tesseract 5 -l guj; OCR DETECTED SCRIPT BENGALI AT 0.4658 CONFIDENCE - UNRELIABLE",no,MEDIUM,LOW,MEDIUM,LOW,NEEDS_PERMISSION,"THE OCR QUALITY EXHIBIT for this project: archive.org's own Gujarati pipeline mis-detected the script. Use as the calibration item for the Gujarati OCR pilot. Attribution research required."
SVK-0009,"A.B. Shree Swetambar Sthanakvasi Jain Conference no Chadati Padatino Itihas (1941)",Conference history,unknown,SVETAMBARA,STHANAKAVASI,unknown,INSTITUTIONAL_HISTORY,gu,Gujarati,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.258851,https://archive.org/download/in.ernet.dli.2015.258851/,Internet Archive,"none declared","1941; pre-1966; PD by age likely",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,n/a,none,"archive.org OCR; unreliable for Gujarati",no,MEDIUM,LOW,"HIGH (duplicate of SVK-0010)",HIGH,NEEDS_PERMISSION,"Institutional history of the Conference (A.B. = Akhil Bharatiya). High sectarian value. Resolve the duplicate pair and verify PD."
SVK-0010,"A.B. Swetambar Sthanakvasi Jain Conference history (duplicate scan)",Conference history,unknown,SVETAMBARA,STHANAKAVASI,unknown,INSTITUTIONAL_HISTORY,gu,Gujarati,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/dli.ernet.410253,https://archive.org/download/dli.ernet.410253/,Internet Archive,"none declared","1941; pre-1966",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,n/a,none,"archive.org OCR; unreliable",no,LOW,LOW,"HIGH (duplicate of SVK-0009)",HIGH,DO_NOT_USE,"Duplicate scan of SVK-0009 with weaker provenance. Retain only as a dedup test case."
SVK-0011,"Shri Acharrang Sutra (Hindi Chaya Anuwad) (1966)","Ayāramga / Ācārāṅga Sūtra",unknown translator,MULTI_TRADITION,UNKNOWN,unknown,ANGA,"hi;pra",Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.346505,https://archive.org/download/in.ernet.dli.2015.346505/,Internet Archive,"none declared","1966; translator and rights unknown",UNCLEAR,UNCLEAR,UNCLEAR,"present (Hindi chaya anuvada)",none,"archive.org OCR Devanagari; moderate",no,MEDIUM,LOW,MEDIUM,MEDIUM,NEEDS_PERMISSION,"The item's own text mentions 'Sthanakvasi' (found by Internet Archive full-text search), which suggests but does NOT prove Sthanakavasi provenance. 1966 is a boundary year - do not assume PD. Publisher attribution is the critical missing field."
