source_id,acquisition_repository,acquisition_identifier,publication_year,author_death_year,publisher,license_evidence_url,copyright_basis,license_confidence,uploader_asserted,ia_rights_statement,ocr_required,verification_required,curation_note
SVK-0002,internet_archive,kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan,1958,1994,"A.B.S. Sthanakvasi Jain Conference Bhavan, New Delhi",https://archive.org/details/kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan,"CC0-1.0 asserted by a patron-library uploader. Author death year documented as 1994 (Wikipedia, 'Sushil Kumar (Jain monk)', 15 June 1926 - 22 April 1994): the Indian life+60 term runs to 2054, so the work is IN COPYRIGHT and the uploader's CC0 tag is not credible as a rights-holder grant.",low,true,false,true,true,"Highest-value Sthanakavasi seed item found. Death-year verification completed 2026-09-18 (https://en.wikipedia.org/wiki/Sushil_Kumar_(Jain_monk)): author was a Sthanakvasi Acharya, d. 1994, so the gate moves to R92 NEEDS_PERMISSION. Permission from the rights holder (author's lineage / Sthanakvasi Jain Conference) is the only path to use this text."
SVK-0003,internet_archive,zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m,1923,unknown,SS Jain Conference (publisher),https://archive.org/details/zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m,"CC0-1.0 asserted by a university-library uploader. Pre-1966 publication, but the compiler's death year is NOT documented.",low,true,false,true,true,"Sthanakavasi-published Prakrit lexicon, vol 1 of 5. Blocked only by the undocumented death year."
SVK-0004,internet_archive,tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m,1930,unknown,SS Jain Conference (publisher),https://archive.org/details/tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m,CC0-1.0 asserted by a university-library uploader; compiler death year NOT documented.,low,true,false,true,true,Vol 3; duplicates exist under SVK-0005 and in the DLI.
SVK-0005,internet_archive,WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja,1930,unknown,SS Jain Conference (publisher),https://archive.org/details/WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja,CC0-1.0 asserted by a college-library uploader; compiler death year NOT documented.,low,true,false,true,true,Independent CC0 digitisation of the same volume as SVK-0004.
SVK-0006,internet_archive,kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m,1932,unknown,S Sthanakwasi Jaina Conference (publisher),https://archive.org/details/kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m,CC0-1.0 asserted by a college-library uploader; publisher named in the title is the Sthanakwasi Jaina Conference itself.,low,true,false,true,true,"Title itself names the Sthanakavasi publisher, which is why this volume is the most valuable single target for rights clearing."
SVK-0007,internet_archive,in.ernet.dli.2015.327411,1927,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.327411,"DLI/JaiGyan item with no licenseurl, no rights field and no possible-copyright-status field at all.",low,false,false,true,true,DLI items carry no rights metadata whatsoever; verified by a field-level API query.
SVK-0008,internet_archive,in.ernet.dli.2015.440806,1960,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.440806,"DLI item, no rights metadata. A Sthanakavasi Gujarati lay-conduct manual.",low,false,false,true,true,THE OCR CALIBRATION ITEM: archive.org's own OCR layer reports detected script 'Bengali' at 0.4658 confidence for this Gujarati book.
SVK-0009,internet_archive,in.ernet.dli.2015.258851,1941,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.258851,"DLI item, no rights metadata.",low,false,false,true,true,A.B. Shree Svetambar Sthanakvasi Jain Conference institutional history.
SVK-0010,internet_archive,dli.ernet.410253,1941,unknown,unknown,https://archive.org/details/dli.ernet.410253,"DLI item, no rights metadata; duplicate scan of SVK-0009.",low,false,false,true,true,Retained only as a deduplication test case.
SVK-0011,internet_archive,in.ernet.dli.2015.346505,1966,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.346505,"DLI item, no rights metadata; 1966 is the boundary year for the life+60 rule.",low,false,false,true,true,Hindi chaya-anuvada of the Acaranga; the item text mentions 'Sthanakvasi' per IA full-text search.
SVK-0012,internet_archive,in.ernet.dli.2015.308533,1936,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.308533,"DLI item, no rights metadata.",low,false,false,true,true,Hindi anuvada of the Dasavaikalika Sutra.
SVK-0013,internet_archive,in.ernet.dli.2015.348094,1934,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.348094,"DLI item, no rights metadata.",low,false,false,true,true,1934 Hindi anuvada of the Uttaradhyayana Sutra.
SVK-0014,internet_archive,in.ernet.dli.2015.446025,1962,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.446025,"DLI item, no rights metadata.",low,false,false,true,true,1962 Hindi anuvada; a DIFFERENT work from SVK-0013 and must never be merged with it.
SVK-0015,internet_archive,in.ernet.dli.2015.308462,1938,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.308462,"DLI item, no rights metadata.",low,false,false,true,true,Hindi anuvada of the Sutrakrtanga Sutra.
SVK-0016,internet_archive,in.ernet.dli.2015.545305,1920,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.545305,"DLI item, no rights metadata.",low,false,false,true,true,'Agam Seva' series edition of the Uttaradhyayana Sutra.
SVK-0017,internet_archive,in.ernet.dli.2015.327713,1964,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.327713,"DLI item, no rights metadata.",low,false,false,true,true,Jnata-dharmakathanga (sixth Anga).
SVK-0018,internet_archive,in.ernet.dli.2015.324772,1960,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.324772,"DLI item, no rights metadata.",low,false,false,true,true,Gujarati pravachan collection.
SVK-0019,internet_archive,in.ernet.dli.2015.445070,1960,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.445070,"DLI item, no rights metadata.",low,false,false,true,true,Stavanavali devotional collection.
SVK-0020,internet_archive,in.ernet.dli.2015.348055,1964,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.348055,"DLI item, no rights metadata.",low,false,false,true,true,Pathshala textbook - the genre we most need and least are allowed to use.
SVK-0021,internet_archive,u-08-u-09-u-10-u-11-u-12-2_202210,unknown,unknown,unknown,https://archive.org/details/u-08-u-09-u-10-u-11-u-12-2_202210,Community upload with no licence and unknown transcriber; may reproduce a copyrighted English translation set.,low,false,false,true,true,"Svetambara-wide scope, not Sthanakavasi."
SVK-0026,huggingface,HappyAIUser/Atma3.1-ShareGPT,2024,unknown,unknown,https://huggingface.co/datasets/HappyAIUser/Atma3.1-ShareGPT,Explicit dataset licence apache-2.0 declared in the Hub dataset card.,high,false,false,false,false,Clean permissive licence. GENERIC_JAIN scope - Shrimad Rajchandra is not a Sthanakavasi authority.
SVK-0027,huggingface,VIITPune/Deshika-Maharashtri_Prakrit_to_English_Parallel_Corpus,2025,unknown,BRACT's Vishwakarma Institute of Information Technology,https://huggingface.co/datasets/VIITPune/Deshika-Maharashtri_Prakrit_to_English_Parallel_Corpus,Explicit dataset licence apache-2.0 declared in the Hub dataset card.,high,false,false,false,false,"The only Prakrit-language dataset found on the Hub. Maharashtri, not Ardhamagadhi."
SVK-0032,,,2026,unknown,Wikimedia,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,"CC-BY-SA-4.0 - ShareAlike attaches to the derived dataset, so this is excluded from training.",high,false,false,false,true,RAG-only candidate; no acquisition implemented in v0.1.
SVK-0033,internet_archive,JainDharmAurDarshan,2018,unknown,unknown,https://archive.org/details/JainDharmAurDarshan,"CC-BY-ND-3.0: NoDerivatives forbids normalisation, segmentation and OCR correction.",high,false,false,false,false,"Structural prohibition, not a quality problem."
