source_id,title,text_name,author,tradition,sect,subsect,text_category,language,script,format,size,approx_token_count,source_url,download_url,repository,license,copyright_status,training_permission,redistribution_permission,commercial_permission,translation_status,commentary_status,ocr_status,human_verified,source_quality,provenance_quality,duplicate_risk,sectarian_confidence,recommended_use,notes
SVK-1001,Gaina Sutras (Sacred Books of the East): Acaranga and Sutrakrtanga,Ācārāṅga Sūtra / Sūtrakṛtāṅga Sūtra (English),Hermann Jacobi (translator),JAIN,SVETAMBARA,unknown,ANGA_ENGLISH_TRANSLATION,en,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/gainastras01aco,https://archive.org/download/gainastras01aco/,Internet Archive,public domain (Internet Archive rights statement),1884; pre-1930; IA possible-copyright-status NOT_IN_COPYRIGHT,TRAINING_ALLOWED,YES,YES,present (English translation),none (translation only),source text layer; quality to be measured,no,HIGH,HIGH,UNKNOWN,HIGH,TRAIN,"The canonical 19th-century English translation of two of the oldest canon texts. Rights basis verified from the Internet Archive item metadata AND the pre-1930 publication date. SCOPE: Svetambara-wide, NOT specifically Sthanakavasi."
SVK-1002,The Kalpa Sutra and Nava Tatva (1848),Kalpa Sūtra / Nava Tatva (English),Rev. J. Stevenson (translator),JAIN,SVETAMBARA,unknown,MULASUTRA_ENGLISH_TRANSLATION,en,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/kalpasutranavata00stevrich,https://archive.org/download/kalpasutranavata00stevrich/,Internet Archive,public domain (Internet Archive rights statement),1848; pre-1930; IA possible-copyright-status NOT_IN_COPYRIGHT,TRAINING_ALLOWED,YES,YES,present (English translation),none,source text layer; quality to be measured,no,HIGH,HIGH,HIGH,HIGH,TRAIN,"1848 English translation of the Kalpa Sutra and Nava Tatva. Deliberately paired with SVK-1003, an independent digitisation of the SAME 1848 work - this is the pipeline's real near-duplicate test case."
SVK-1003,The Kalpa Sutra and Nava Tatva (1848) second digitisation,Kalpa Sūtra / Nava Tatva (English),Rev. J. Stevenson (translator),JAIN,SVETAMBARA,unknown,MULASUTRA_ENGLISH_TRANSLATION,en,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/kalpasutraandna00bhadgoog,https://archive.org/download/kalpasutraandna00bhadgoog/,Internet Archive,public domain (Internet Archive rights statement),1848; pre-1930; IA possible-copyright-status NOT_IN_COPYRIGHT,TRAINING_ALLOWED,YES,YES,present (English translation),none,source text layer; quality to be measured,no,MEDIUM,HIGH,HIGH (duplicate of SVK-1002),HIGH,TRAIN,Independent second digitisation of SVK-1002. Acquired ON PURPOSE so that the deduplication stage is tested against a genuine duplicate rather than a synthetic one.
SVK-1004,The Story of Kalaka (1933),"Kālakācāryakathā (Svetambara hagiography, English)",Norman Brown,JAIN,SVETAMBARA,unknown,HAGIOGRAPHY_ENGLISH_TRANSLATION,en,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/storyofkalakatex00brow,https://archive.org/download/storyofkalakatex00brow/,Internet Archive,library rights statement: not in copyright,1933; in-copyright boundary; IA states 'Not in copyright. The Library knows of no copyright restrictions on this item.',TRAINING_ALLOWED_WITH_CONDITIONS,YES,YES,present (English translation),some,source text layer; quality to be measured,no,HIGH,MEDIUM,UNKNOWN,HIGH,TRAIN,"Svetambara Jain hagiographical work with miniature-painting reproduction. Rights basis is a POSITIVE statement from the holding library rather than a licence; the Indian term (life+60) has NOT been independently verified, so license_confidence is medium and verification_required is flagged."
SVK-1005,Notes on the Religious Literature of India (1920),An Outline of the Religious Literature of India,J. N. Farquhar,JAIN plus other traditions,MULTI_TRADITION,unknown,SECONDARY_SCHOLARSHIP,en,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/anoutlinereligi00farqgoog,https://archive.org/download/anoutlinereligi00farqgoog/,Internet Archive,public domain (Internet Archive rights statement),1920; pre-1930; IA possible-copyright-status NOT_IN_COPYRIGHT,TRAINING_ALLOWED,YES,YES,present (English),critical,source text layer; quality to be measured,no,HIGH,HIGH,UNKNOWN,LOW,TRAIN,"Colonial-era survey containing a Jain section. Must be tagged as WESTERN SCHOLARSHIP, never as the tradition's own voice. MULTI_TRADITION: covers more than Jainism."
SVK-1006,Jaina Psychology (1929),Jaina Psychology,unknown,JAIN,UNKNOWN,unknown,SECONDARY_SCHOLARSHIP,en,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/jaina-psychology,https://archive.org/download/jaina-psychology/,Internet Archive,public domain (publication date),1929; pre-1930,TRAINING_ALLOWED,YES,YES,present (English),critical,source text layer; quality to be measured,no,MEDIUM,LOW,UNKNOWN,LOW,TRAIN,1929 study of Jain psychology. Author not confirmed from the item metadata (recorded as unknown rather than guessed). Pre-1930 publication date is the rights basis.
SVK-1007,Essai de bibliographie jaina (1906),Essai de bibliographie jaina,A. Guerinot,JAIN;BIBLIOGRAPHY,UNKNOWN,unknown,BIBLIOGRAPHY,fr,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/essaidebibliogr01gugoog,https://archive.org/download/essaidebibliogr01gugoog/,Internet Archive,public domain (Internet Archive rights statement),1906; pre-1930; IA possible-copyright-status NOT_IN_COPYRIGHT,TRAINING_ALLOWED,YES,YES,n/a (bibliography),n/a,source text layer; quality to be measured,no,HIGH,HIGH,UNKNOWN,UNKNOWN,TRAIN,French-language Jain bibliography. OUT OF SCOPE for the project's target languages (hi/gu/en/sa/pra) but retained as a METADATA/BIBLIOGRAPHIC reference source and reported separately in the statistics rather than silently dropped.
SVK-1008,Notes on the Jainas (1911),Notes on the Jainas,unknown,JAIN,MULTI_TRADITION,unknown,SECONDARY_SCHOLARSHIP,en,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/in.gov.ignca.19947,https://archive.org/download/in.gov.ignca.19947/,Internet Archive,public domain (publication date),1911; pre-1930,TRAINING_ALLOWED,YES,YES,present (English),critical,source text layer; quality to be measured,no,MEDIUM,LOW,UNKNOWN,LOW,TRAIN,"Held by the Indira Gandhi National Centre for the Arts (IGNCA). No IA rights statement on the item; the rights basis is the pre-1930 publication date alone, so provenance quality is recorded as low."
SVK-1009,"Risabha Deva, the Founder of Jainism (1929)",Risabha Deva the founder of Jainism,unknown,JAIN,UNKNOWN,unknown,SECONDARY_SCHOLARSHIP,en,Latin,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/in.gov.ignca.15558,https://archive.org/download/in.gov.ignca.15558/,Internet Archive,public domain (publication date),1929; pre-1930,TRAINING_ALLOWED,YES,YES,present (English),critical,source text layer; quality to be measured,no,MEDIUM,LOW,UNKNOWN,LOW,TRAIN,IGNCA holding; pre-1930 basis only. Author unknown from metadata - recorded as unknown rather than guessed.
SVK-1010,"Jain Shvetambar Conference Herald, Varsh 13 (1917)",Conference herald,unknown,SVETAMBARA,UNKNOWN,unknown,PERIODICAL,gu;hi;en,Mixed,DjVuTXT;PDF,not measured,UNMEASURED,https://archive.org/details/in.ernet.dli.2015.543343,https://archive.org/download/in.ernet.dli.2015.543343/,Internet Archive,none declared,1917; pre-1930,TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,MIXED,none,source text layer; Gujarati quality likely poor,no,LOW,LOW,UNKNOWN,UNKNOWN,TRAIN,"A Svetambar Conference periodical, institutionally close to the Sthanakavasi lineage and therefore sectarily interesting. Held as a DLI/JaiGyan item with NO licence, rights or copyright-status field. The 1917 publication date means the licence gate admits it (R70, medium confidence, verification required), but provenance_quality is LOW because no rights metadata exists at all, so it is held out of v0.1 by min_provenance_quality_for_release. Recorded explicitly so that its absence is read as 'unattributable', not as 'rejected' - and because it is the most sect-relevant 1917 item found."
