"source_id","engine","page_count","detected_language","detected_script","language_confidence","character_count","replacement_character_count","unicode_error_count","estimated_ocr_noise","script_purity","manual_review_required"
"SVK-0007","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","2242289","0","0","0.015","0.9625","True"
"SVK-0016","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","185784","0","0","0.0023","0.9942","False"
"SVK-0026","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","4710495","0","0","0.0","1.0","False"
"SVK-0027","STRUCTURED_TABLE","2948","unknown (Latin script)","Latin","medium","215471","0","2947","0.3506","0.6235","True"
"SVK-0037","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","1339809","0","0","0.0154","0.9614","True"
"SVK-0038","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","181581","0","0","0.0002","0.9996","False"
"SVK-1001","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","679813","0","0","0.0002","0.9995","False"
"SVK-1002","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","209585","0","0","0.0001","0.9997","False"
"SVK-1003","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","221170","0","0","0.0001","0.9998","False"
"SVK-1005","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","1024494","0","0","0.0","0.9999","False"
"SVK-1006","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","88516","0","0","0.0","1.0","False"
"SVK-1007","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","874166","0","0","0.0161","0.9598","False"
"SVK-1008","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","47850","0","0","0.0005","0.9987","False"
"SVK-1009","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","251990","0","0","0.0009","0.9977","False"
"SVK-1010","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","394727","0","0","0.0024","0.994","True"
"SVK-2002","PLAIN_TEXT","1","Gujarati","Gujarati","medium","2658194","0","0","0.005","0.9876","False"
"SVK-2003","PLAIN_TEXT","1","Gujarati","Gujarati","medium","1960351","0","0","0.0054","0.9864","False"
"SVK-2004","PLAIN_TEXT","1","Gujarati","Gujarati","medium","2189012","0","0","0.008","0.9799","True"
"SVK-2005","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","2006521","0","0","0.0043","0.9893","True"
"SVK-2006","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","4137820","0","0","0.0413","0.8968","False"
"SVK-2007","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","3976548","0","0","0.0148","0.9629","False"
"SVK-2008","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","413972","0","0","0.0004","0.9989","False"
"SVK-2009","PLAIN_TEXT","1","unknown (Latin script)","Latin","medium","437831","0","0","0.0005","0.9987","False"
"SVK-2010","PLAIN_TEXT","1","Gujarati","Gujarati","medium","154682","0","0","0.0009","0.9978","False"
"SVK-2011","PLAIN_TEXT","1","Gujarati","Gujarati","medium","165818","0","0","0.002","0.9951","False"
"SVK-2012","PLAIN_TEXT","1","Gujarati","Gujarati","medium","433153","0","0","0.0005","0.9988","False"
"SVK-2013","PLAIN_TEXT","1","Gujarati","Gujarati","medium","22071","0","0","0.0016","0.9961","False"
"SVK-2014","PLAIN_TEXT","1","Gujarati","Gujarati","medium","248376","0","0","0.0005","0.9987","False"
"SVK-2015","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","337018","0","0","0.022","0.945","False"
"SVK-2016","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","444263","0","0","0.002","0.995","False"
"SVK-2019","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","336415","0","0","0.0012","0.997","False"
"SVK-2020","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","597549","0","0","0.0008","0.998","False"
"SVK-2021","PLAIN_TEXT","1","unknown (Hindi/Sanskrit/Prakrit share this script)","Devanagari","medium","185784","0","0","0.0023","0.9942","False"
"SVK-2022","HOCR","1","unknown (Latin script)","Latin","medium","1546401","0","0","0.0","1.0","True"
"SVK-2023","HOCR","1","unknown (Latin script)","Latin","medium","3084770","0","0","0.0","1.0","True"
"SVK-2024","HOCR","1","unknown (Latin script)","Latin","medium","26889","0","0","0.0016","0.9961","False"
"SVK-2025","HOCR","1","unknown (Latin script)","Latin","medium","3410605","0","0","0.1931","0.5173","True"
"SVK-2026","HOCR","1","unknown (Latin script)","Latin","medium","1719267","0","0","0.0","1.0","True"
"SVK-2027","HOCR","1","Gujarati","Gujarati","medium","322931","0","0","0.0766","0.8084","True"
"SVK-2028","HOCR","1","unknown (Latin script)","Latin","medium","473822","0","0","0.0","1.0","True"
"SVK-2029","HOCR","1","unknown (Latin script)","Latin","medium","1881167","0","0","0.1774","0.5565","True"
