candidate_id,title,author,publication_year,publisher,language,script,tradition,sect,subsect,source_url,artifact_url,repository,format,estimated_pages,estimated_tokens,historical_relevance,svk_relevance,prakrit_relevance,gujarati_relevance,license_status,copyright_basis,license_evidence,source_quality,ocr_required,acquisition_feasibility,priority,reason
R2-001,"Ardha Magadhi Kosh and Maharashtri Deshya Prakrit Kosh ed. Ratna Chandra",Muni Ratnachandraji,1938,"Shri Shvetambar Sthanak Vasi Jain Conference, Agra",Prakrit;Hindi,Devanagari,JAIN,STHANAKAVASI,unknown,https://archive.org/details/pqpj_ardha-magadhi-kosh-and-maharashti-deshya-prakrit-kosh-ed-by-ratna-chandra-1938-a,https://archive.org/download/pqpj_ardha-magadhi-kosh-and-maharashti-deshya-prakrit-kosh-ed-by-ratna-chandra-1938-a/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH (1938 Sthanakvasi Conference Prakrit lexicon incl. Maharashtri Desya),HIGH,HIGH,MEDIUM,CC0-1.0 uploader-asserted,"1938 publication; author death year undocumented; Indian term life+60 not yet expirable on documented facts; CC0 asserted by uploader is not legally verified",https://archive.org/details/pqpj_ardha-magadhi-kosh-and-maharashti-deshya-prakrit-kosh-ed-by-ratna-chandra-1938-a,HIGH,true,HIGH (DjVuTXT derivative expected),P0,"The single highest-value Round-2 item: Sthanakvasi Conference imprint + Prakrit dictionary + Maharashtri Desya coverage. Gate will land WITH_CONDITIONS (R30) pending death-year research; ingest into RAG only if conditions met, else quarantine."
R2-002,"An Illustrated Ardha Magadhi Dictionary Gujarati",A. C. Woolner,1932,"DLI scan (original: SS Jain Conference)",Prakrit;Gujarati,Gujarati;Latin,JAIN,STHANAKAVASI,unknown,https://archive.org/details/in.ernet.dli.2015.399871,https://archive.org/download/in.ernet.dli.2015.399871/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH (Woolner's Gujarati-script edition of the Ardha-Magadhi Dictionary),HIGH,HIGH,HIGH,public domain on documented facts,"author died 1936-01-07 (Wikipedia Q4647084); 1936+60=1996 < 2026; R25_LIFE_PLUS_60_EXPIRED",https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,MEDIUM,true,HIGH (DLI DjVuTXT present),P0,"First Gujarati-script Prakrit dictionary candidate. Woolner death year verified via Wikipedia+Wikidata unlocks R25. Directly attacks the Gujarati-script=0 gap."
R2-003,"An Illustrated Ardha Magadhi Dictionary Philosophic & Scientific",A. C. Woolner,1930,"DLI scan (original: SS Jain Conference)",Prakrit;Gujarati,Gujarati;Latin,JAIN,STHANAKAVASI,unknown,https://archive.org/details/in.ernet.dli.2015.399872,https://archive.org/download/in.ernet.dli.2015.399872/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH,HIGH,HIGH,HIGH,public domain on documented facts,"author died 1936; 1930 publication; R25_LIFE_PLUS_60_EXPIRED",https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,MEDIUM,true,HIGH,P0,"Same rationale as R2-002; 1930 edition with philosophic/scientific terminology."
R2-004,"Ardha Magadhi Quadrilingual Dictionary Vol-2",A. C. Woolner,1927,"DLI scan (original: SS Jain Conference)",Prakrit;Sanskrit;Gujarati;Hindi,Devanagari;Gujarati,JAIN,STHANAKAVASI,unknown,https://archive.org/details/in.ernet.dli.2015.399104,https://archive.org/download/in.ernet.dli.2015.399104/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH,HIGH,HIGH,HIGH,public domain on documented facts,"author died 1936; 1927 publication; R25/R70 both apply",https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,MEDIUM,true,HIGH,P0,"Quadrilingual (pra/sa/gu/hi) edition. duplicate_risk: HIGH against SVK-0007 (Vols 2+5, 1927) — different scan of possibly the same work; cross-edition dedup will decide."
R2-005,"An Illustrated Ardha-magadhi Dictionary Vol-5 (1923)",Muni Ratnachandra Ji Maharaj,1923,"DLI scan (original: SS Jain Conference)",Prakrit;Hindi;Sanskrit,Devanagari;Latin,JAIN,STHANAKAVASI,unknown,https://archive.org/details/in.ernet.dli.2015.342545,https://archive.org/download/in.ernet.dli.2015.342545/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH,MEDIUM,HIGH,LOW,public domain on documented facts,"1923 publication; pre-1930; R70_PRE_1930_PUBLICATION (compiler death year undocumented — R25 not available)",https://archive.org/details/in.ernet.dli.2015.342545,MEDIUM,true,HIGH,P2,"Underlying text is the same Ardha-Magadhi Dictionary as SVK-0007/0037 but a distinct 1923 DLI scan; sectarian attribution rests on the Conference imprint (medium confidence). duplicate_risk HIGH vs SVK-0007."
R2-006,"An Illustrated Ardha-Magadhi Dictionary Vol-1 (KSU university copy)",A. C. Woolner / Muni Ratnachandra,1923,"S. S. Jaina Conference",Prakrit;Sanskrit,Devanagari,JAIN,STHANAKAVASI,unknown,https://archive.org/details/ksu.u3791.illustratedardha0000acwo,https://archive.org/download/ksu.u3791.illustratedardha0000acwo/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH,HIGH,HIGH,LOW,public domain on documented facts,"same work as already-ingested SVK-0037 (same identifier)",https://archive.org/details/ksu.u3791.illustratedardha0000acwo,HIGH,true,N/A,P0,"EXCLUDED from acquisition: exact duplicate of SVK-0037 which v0.1 already ingested from this very identifier. Listed here only to document that the discovery pass found it."
R2-007,"Paia-sadda-mahannavo: a comprehensive Prakrit-Hindi dictionary",Hargovind Das T. Sheth (1888-1940),1923,"Calcutta (author-published era)",Prakrit;Hindi;Sanskrit,Devanagari,JAIN,unknown,unknown,https://archive.org/details/paiasaddamahaavo0000seth,https://archive.org/download/paiasaddamahaavo0000seth/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH (the canonical Prakrit lexicon),LOW,HIGH,LOW,public domain on documented facts,"compiler dates 1888-1940 in IA bibliographic record; 1940+60=2000 < 2026; R25_LIFE_PLUS_60_EXPIRED",https://archive.org/details/paiasaddamahaavo0000seth,HIGH (modern university scan),true,HIGH,P2,"The most important Prakrit reference work. Sect attribution unknown (Svetambara-wide scholarship) but Prakrit relevance is maximal. Born-digital-era scan quality higher than DLI."
R2-008,"Paia-Sadda-Mahannavo (Motilal Banarsidass reprint)",Hargovind Das T. Sheth (1888-1940),1928,Motilal Banarsidass,Prakrit;Hindi,Devanagari,JAIN,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.348701,https://archive.org/download/in.ernet.dli.2015.348701/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH,LOW,HIGH,LOW,public domain on documented facts,"compiler died 1940; 1928 publication; R25 applies",https://archive.org/details/in.ernet.dli.2015.348701,MEDIUM,true,HIGH,P2,"MLB edition of R2-007; relation_type=edition_of. Cross-edition near-duplicate test case like SVK-1002/1003."
R2-009,"Woolner's Introduction To Prakrit",Alfred C. Woolner,1917,"DLI-era scan",English,Latin,JAIN,unknown,unknown,https://archive.org/details/IntroductionToPrakritWoolner_bookmarked,https://archive.org/download/IntroductionToPrakritWoolner_bookmarked/,Internet Archive,PDF (born-digital bookmarked),unknown,unknown,HIGH (standard English grammar of Prakrit),LOW,HIGH,LOW,public domain on documented facts,"author died 1936; 1917 publication; R25/R70",https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,HIGH (bookmarked born-digital PDF),false,HIGH,P2,"English grammar of Prakrit — supports segmentation and transliteration validation. Possibly born-digital text (no OCR needed)."
R2-010,"Introduction To Prakrit (Motilal Banarsidass)",Alfred C. Woolner,1928,Motilal Banarsidass,English,Latin,JAIN,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.65389,https://archive.org/download/in.ernet.dli.2015.65389/,Internet Archive,DjVuTXT;PDF,unknown,unknown,HIGH,LOW,HIGH,LOW,public domain on documented facts,"author died 1936; 1928 publication; R25",https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,MEDIUM,true,HIGH,P2,"Revised edition of R2-009; relation_type=edition_of."
