source_id,title,author,publisher,publication_year,tradition,sect,subsect,language,script,source_url,download_url,repository,source_format,license,license_evidence_url,copyright_basis,training_permission,redistribution_permission,commercial_permission,license_confidence,source_status,acquisition_status,ocr_required,translation_status,commentary_status,language_family,language_variant,language_confidence,classification_basis,transliteration_system,sect_confidence,sect_basis,relation_type,parent_source_id,religious_scope,religious_scope_confidence,religious_scope_basis,knowledge_layer,teacher_or_author,lineage,provenance,notes,text_name,text_category,author_death_year,uploader_asserted,ia_rights_statement,verification_required,curation_status,acquisition_repository,acquisition_identifier,approx_token_count,human_verified,source_quality,provenance_quality,duplicate_risk,sectarian_confidence,recommended_use
SVK-0001,CC0 Jain text library (patron-library-collection / ganeshvarnilibrary),various,unknown,,MULTI_TRADITION,MULTI_TRADITION,unknown,hi;gu;en;sa,Devanagari;Gujarati;Latin,https://archive.org/details/ganeshvarnilibrary,https://archive.org/advancedsearch.php?q=collection%3Aganeshvarnilibrary,Internet Archive,PDF;DjVuTXT;hOCR,CC0-1.0 (uploader-asserted),https://archive.org/details/ganeshvarnilibrary,,WITH_CONDITIONS (R20_PERMISSIVE_LICENCE_UNVERIFIED),CONDITIONAL_PER_ITEM,CONDITIONAL_PER_ITEM,low,CANDIDATE,PENDING,false,MIXED,none,,,,,,,,,,UNKNOWN,UNKNOWN,Mixed patron-library collection that per manifest notes skews Digambara and generic-Jain,,,,"{""acquisition_repository"": """", ""curation_status"": ""NOT_CURATED"", ""identifier"": """", ""license_evidence_url"": ""https://archive.org/details/ganeshvarnilibrary"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/ganeshvarnilibrary""}","The largest legally-plausible Jain text trove found. Must be audited item by item: the CC0 tag is NOT credible for post-1966 publications, while pre-1966 works are PD by age regardless of the tag. Collection skews Digambara and generic-Jain, NOT Sthanakavasi. HIGHEST PRIORITY for the corpus-v0.1 ingest task.",MULTIPLE (collection),MULTIPLE,,false,false,true,NOT_CURATED,,,UNMEASURED,no,GOOD,MEDIUM,depends on per-item audit,LOW (collection is Digambara/generic-skewed),NEEDS_PERMISSION
SVK-0002,Jain Dharma (1958),Muni Sushil Kumar,"A.B.S. Sthanakvasi Jain Conference Bhavan, New Delhi",1958,JAIN,STHANAKAVASI,ABS Sthanakvasi Jain Conference Bhavan,en;hi,Devanagari;Latin,https://archive.org/details/kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan,https://archive.org/download/kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan/,Internet Archive,PDF;DjVuTXT,CC0-1.0,https://archive.org/details/kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan,"CC0-1.0 asserted by a patron-library uploader. Author death year documented as 1994 (Wikipedia, 'Sushil Kumar (Jain monk)', 15 June 1926 - 22 April 1994): the Indian life+60 term runs to 2054, so the work is IN COPYRIGHT and the uploader's CC0 tag is not credible as a rights-holder grant.",NEEDS_PERMISSION (R92_TERM_UNEXPIRED),YES,YES,low,CANDIDATE,PENDING,true,n/a,none,,,,,,,,,,CORE_STHANAKAVASI,HIGH,Dual evidence: author Muni Sushil Kumar is a documented Sthanakvasi teacher/monk/Acharya (Wikipedia biographic record,,,,"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan"", ""license_evidence_url"": ""https://archive.org/details/kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan""}","BEST SINGLE STHANAKAVASI SEED ITEM found. Publisher is explicitly the A.B.S. Sthanakvasi Jain Conference Bhavan, New Delhi. Verify the author death year to raise confidence, then promote to the core corpus. :: Highest-value Sthanakavasi seed item found. Death-year verification completed 2026-09-18 (https://en.wikipedia.org/wiki/Sushil_Kumar_(Jain_monk)): author was a Sthanakvasi Acharya, d. 1994, so the gate moves to R92 NEEDS_PERMISSION. Permission from the rights holder (author's lineage / Sthanakvasi Jain Conference) is the only path to use this text.",Jain Dharma,EXPOSITION,1994,true,false,true,CURATED,internet_archive,kins_jain-dharma-by-muni-sushil-kumar-1958-new-delhi-a-b-s-sthanakvasi-jain-conference-bhavan,UNMEASURED,no,HIGH,MEDIUM,low,MEDIUM,TRAIN
SVK-0003,An Illustrated Ardha Magadhi Dictionary Vol 1 (1923),Muni Ratnachandraji,SS Jain Conference (publisher),1923,SVETAMBARA,STHANAKAVASI,SS Jain Conference (publisher),en;pra,Devanagari;Latin,https://archive.org/details/zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m,https://archive.org/download/zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m/,Internet Archive,PDF;DjVuTXT,CC0-1.0,https://archive.org/details/zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m,"CC0-1.0 asserted by a university-library uploader. Pre-1966 publication, but the compiler's death year is NOT documented.",WITH_CONDITIONS (R30_CC0_ASSERTED_PRE_1966),YES,YES,low,CANDIDATE,PENDING,true,n/a,none,,,,,,,,,,CORE_STHANAKAVASI,HIGH,Publisher imprint explicitly S S Jain Conference (Sthanakvasi),,,,"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m"", ""license_evidence_url"": ""https://archive.org/details/zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m""}","Sthanakavasi-published Prakrit dictionary (Indore 1923). HIGHEST-VALUE PRAKRIT ASSET FOUND. Basis for the Ardhamagadhi lexicon used to validate all OCR output. Confirm the CC0 basis with counsel. :: Sthanakavasi-published Prakrit lexicon, vol 1 of 5. Blocked only by the undocumented death year.",Ardha Magadhi Dictionary,LEXICON,unknown,true,false,true,CURATED,internet_archive,zwmn-an-illustrated-ardha-magadhi-dictionary-vol-1-by-m,UNMEASURED (lexicon; expect 1-3M),no,HIGH,HIGH,low,HIGH,TRAIN
SVK-0004,An Illustrated Ardha Magadhi Dictionary Vol 3 (1930),Muni Ratnachandraji,SS Jain Conference (publisher),1930,SVETAMBARA,STHANAKAVASI,SS Jain Conference (publisher),en;pra,Devanagari;Latin,https://archive.org/details/tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m,https://archive.org/download/tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m/,Internet Archive,PDF;DjVuTXT,CC0-1.0,https://archive.org/details/tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m,CC0-1.0 asserted by a university-library uploader; compiler death year NOT documented.,WITH_CONDITIONS (R30_CC0_ASSERTED_PRE_1966),YES,YES,low,CANDIDATE,PENDING,true,n/a,none,,,,,,,,,,CORE_STHANAKAVASI,HIGH,Publisher imprint explicitly S S Jain Conference (Sthanakvasi),,,,"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m"", ""license_evidence_url"": ""https://archive.org/details/tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m""}",Bombay 1930. Exists as multiple CC0 uploads plus DLI copies. Resolve to one canonical instance in the dedup stage. :: Vol 3; duplicates exist under SVK-0005 and in the DLI.,Ardha Magadhi Dictionary,LEXICON,unknown,true,false,true,CURATED,internet_archive,tqtv-an-illustrated-ardha-magadhi-dictionary-vol-3-by-m,UNMEASURED (lexicon),no,HIGH,HIGH,HIGH (duplicate of SVK-0005),HIGH,TRAIN
SVK-0005,Ardha Magadhi Dictionary Vol 3 (1930) Lahore Jangamwadi Math copy,Shri Ratna Chandra Ji Maharaja,SS Jain Conference (publisher),1930,SVETAMBARA,STHANAKAVASI,SS Jain Conference (publisher),en;pra,Devanagari;Latin,https://archive.org/details/WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja,https://archive.org/download/WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja/,Internet Archive,PDF;DjVuTXT,CC0-1.0,https://archive.org/details/WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja,CC0-1.0 asserted by a college-library uploader; compiler death year NOT documented.,WITH_CONDITIONS (R30_CC0_ASSERTED_PRE_1966),YES,YES,low,CANDIDATE,PENDING,true,n/a,none,,,,,,,,,,CORE_STHANAKAVASI,HIGH,Publisher imprint explicitly S S Jain Conference (Sthanakvasi); same work as SVK-0004,LEXICON,Shri Ratna Chandra Ji Maharaj,S S Jain Conference (Sthanakvasi),"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja"", ""license_evidence_url"": ""https://archive.org/details/WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja""}",Confirmed cross-uploader duplicate - the canonical example for the dedup stage. Prefer the better scan and record the pairing. :: Independent CC0 digitisation of the same volume as SVK-0004.,Ardha Magadhi Dictionary,LEXICON,unknown,true,false,true,CURATED,internet_archive,WTyp_ardha-magadhi-dictionary-vol.-3-by-shri-ratna-chandra-ji-maharaja-1930-lahore-ja,UNMEASURED,no,HIGH,HIGH,HIGH (duplicate of SVK-0004),HIGH,TRAIN
SVK-0006,An Illustrated Ardha Magadhi Dictionary Vol 4 (1932),Muni Ratnachandraji Maharaj,S Sthanakwasi Jaina Conference (publisher),1932,SVETAMBARA,STHANAKAVASI,S Sthanakwasi Jaina Conference (publisher),en;pra,Devanagari;Latin,https://archive.org/details/kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m,https://archive.org/download/kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m/,Internet Archive,PDF;DjVuTXT,CC0-1.0,https://archive.org/details/kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m,CC0-1.0 asserted by a college-library uploader; publisher named in the title is the Sthanakwasi Jaina Conference itself.,WITH_CONDITIONS (R30_CC0_ASSERTED_PRE_1966),YES,YES,low,CANDIDATE,PENDING,true,n/a,none,,,,,,,,,,CORE_STHANAKAVASI,HIGH,Title itself names the S Sthanakwasi Jaina Conference as publisher,LEXICON,Muni Ratnachandra Maharaj,S Sthanakwasi Jaina Conference,"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m"", ""license_evidence_url"": ""https://archive.org/details/kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m""}","Title explicitly names the S Sthanakwasi Jaina Conference as publisher. The duplicate DLI instance (in.ernet.dli.2015.327413) has no licence - use the CC0 one. :: Title itself names the Sthanakavasi publisher, which is why this volume is the most valuable single target for rights clearing.",Ardha Magadhi Dictionary,LEXICON,unknown,true,false,true,CURATED,internet_archive,kbii-an-illustrated-ardha-magadhi-dictionary-vol-4-by-m,UNMEASURED,no,HIGH,HIGH,HIGH (DLI duplicate exists),HIGH,TRAIN
SVK-0007,Ardha Magadhi Dictionary Vols 2 and 5 (1927; 1938),Muni Ratnachandraji,unknown,1927,SVETAMBARA,STHANAKAVASI,SS Jain Conference,Prakrit;Sanskrit,Devanagari;Latin,https://archive.org/details/in.ernet.dli.2015.327411,https://archive.org/download/in.ernet.dli.2015.327411/,Internet Archive,PDF;DjVuTXT,none declared,https://archive.org/details/in.ernet.dli.2015.327411,"DLI/JaiGyan item with no licenseurl, no rights field and no possible-copyright-status field at all.",TRAINING_ALLOWED (R70_PRE_1930_PUBLICATION),CONDITIONAL,CONDITIONAL,low,CANDIDATE,PENDING,true,n/a,none,Old and Middle Indo-Aryan,Ardhamagadhi (dictionary entries),medium,bibliographic_record,IAST,medium,publisher_imprint,edition_of,,CORE_STHANAKAVASI,MEDIUM,Publisher imprint (SS Jain Conference) per bibliographic record; DLI scan carries no explicit statement,LEXICON,Muni Ratnachandra,S S Jain Conference (Sthanakvasi),"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""in.ernet.dli.2015.327411"", ""license_evidence_url"": ""https://archive.org/details/in.ernet.dli.2015.327411"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/in.ernet.dli.2015.327411""}","DLI items carry NO licenseurl, NO rights field and NO possible-copyright-status (verified). PD by age is likely but must be established per item. Hunt for CC0 instances of vols 2 and 5 before using these. :: DLI items carry no rights metadata whatsoever; verified by a field-level API query.",Ardha Magadhi Dictionary,LEXICON,unknown,false,false,true,CURATED,internet_archive,in.ernet.dli.2015.327411,UNMEASURED,no,MEDIUM,LOW,HIGH,LOW,NEEDS_PERMISSION
SVK-0008,Sthanakvasi Jainonum Dharamkartavya (1960),unknown,unknown,1960,SVETAMBARA,STHANAKAVASI,unidentified Sthanakvasi publisher,gu,Gujarati,https://archive.org/details/in.ernet.dli.2015.440806,https://archive.org/download/in.ernet.dli.2015.440806/,Internet Archive,PDF;DjVuTXT;hOCR,none declared,https://archive.org/details/in.ernet.dli.2015.440806,"DLI item, no rights metadata. A Sthanakavasi Gujarati lay-conduct manual.",WITH_CONDITIONS (R95_CHRONOLOGY_UNRESOLVED),CONDITIONAL,CONDITIONAL,low,CANDIDATE,PENDING,true,n/a,none,,,,,,,,,,CORE_STHANAKAVASI,LOW,Title names the sect (Sthanakvasi Jainonum Dharmakartavya); no publisher/author metadata to corroborate,CONDUCT MANUAL,unknown,unknown,"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""in.ernet.dli.2015.440806"", ""license_evidence_url"": ""https://archive.org/details/in.ernet.dli.2015.440806"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/in.ernet.dli.2015.440806""}",THE OCR QUALITY EXHIBIT for this project: archive.org's own Gujarati pipeline mis-detected the script. Use as the calibration item for the Gujarati OCR pilot. Attribution research required. :: THE OCR CALIBRATION ITEM: archive.org's own OCR layer reports detected script 'Bengali' at 0.4658 confidence for this Gujarati book.,Sthanakvasi Jainonum Dharamkartavya,CONDUCT_MANUAL,unknown,false,false,true,CURATED,internet_archive,in.ernet.dli.2015.440806,UNMEASURED,no,MEDIUM,LOW,MEDIUM,LOW,NEEDS_PERMISSION
SVK-0009,A.B. Shree Swetambar Sthanakvasi Jain Conference no Chadati Padatino Itihas (1941),unknown,unknown,1941,SVETAMBARA,STHANAKAVASI,unknown,gu,Gujarati,https://archive.org/details/in.ernet.dli.2015.258851,https://archive.org/download/in.ernet.dli.2015.258851/,Internet Archive,PDF;DjVuTXT,none declared,https://archive.org/details/in.ernet.dli.2015.258851,"DLI item, no rights metadata.",WITH_CONDITIONS (R95_CHRONOLOGY_UNRESOLVED),CONDITIONAL,CONDITIONAL,low,CANDIDATE,PENDING,true,n/a,none,,,,,,,,,,CORE_STHANAKAVASI,HIGH,Institutional history of the A.B. Svetambar Sthanakvasi Jain Conference itself,INSTITUTIONAL HISTORY,unknown,Akhil Bharatiya Svetambar Sthanakvasi Jain Conference,"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""in.ernet.dli.2015.258851"", ""license_evidence_url"": ""https://archive.org/details/in.ernet.dli.2015.258851"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/in.ernet.dli.2015.258851""}",Institutional history of the Conference (A.B. = Akhil Bharatiya). High sectarian value. Resolve the duplicate pair and verify PD. :: A.B. Shree Svetambar Sthanakvasi Jain Conference institutional history.,Conference history,INSTITUTIONAL_HISTORY,unknown,false,false,true,CURATED,internet_archive,in.ernet.dli.2015.258851,UNMEASURED,no,MEDIUM,LOW,HIGH (duplicate of SVK-0010),HIGH,NEEDS_PERMISSION
SVK-0010,A.B. Swetambar Sthanakvasi Jain Conference history (duplicate scan),unknown,unknown,1941,SVETAMBARA,STHANAKAVASI,unknown,gu,Gujarati,https://archive.org/details/dli.ernet.410253,https://archive.org/download/dli.ernet.410253/,Internet Archive,PDF;DjVuTXT,none declared,https://archive.org/details/dli.ernet.410253,"DLI item, no rights metadata; duplicate scan of SVK-0009.",WITH_CONDITIONS (R95_CHRONOLOGY_UNRESOLVED),CONDITIONAL,CONDITIONAL,low,CANDIDATE,PENDING,true,n/a,none,,,,,,,,,,CORE_STHANAKAVASI,LOW,Duplicate scan of SVK-0009; inherits subject but has weaker provenance and no independent verification,INSTITUTIONAL HISTORY,unknown,Akhil Bharatiya Svetambar Sthanakvasi Jain Conference,"{""acquisition_repository"": ""internet_archive"", ""curation_status"": ""CURATED"", ""identifier"": ""dli.ernet.410253"", ""license_evidence_url"": ""https://archive.org/details/dli.ernet.410253"", ""manifest_origin"": ""parent_manifest"", ""repository"": ""Internet Archive"", ""source_url"": ""https://archive.org/details/dli.ernet.410253""}",Duplicate scan of SVK-0009 with weaker provenance. Retain only as a dedup test case. :: Retained only as a deduplication test case.,Conference history,INSTITUTIONAL_HISTORY,unknown,false,false,true,CURATED,internet_archive,dli.ernet.410253,UNMEASURED,no,LOW,LOW,HIGH (duplicate of SVK-0009),HIGH,DO_NOT_USE
